x,y,arg
14.295001,22.039972,0
20.411415,3.3655233,0
10.0233345,-0.009714341,0
14.104099,1.4354334,0
5.760388,1.1351769,2
-0.50547135,-5.3784094,0
6.577992,16.263248,0
23.51488,2.6349547,0
10.084692,6.4829845,0
13.512299,-0.7320564,0
5.250198,-0.6793625,2
7.901717,3.3391533,0
15.8642645,3.8635578,0
17.28788,-4.8260407,2
2.1931381,5.572755,0
3.9353497,13.706166,0
26.827076,3.1368017,0
11.0709095,1.7047247,0
8.46558,7.6434083,0
5.9567027,2.2681947,2
8.308482,-3.4745193,2
18.052408,17.437117,0
23.250866,-0.1527316,0
13.042673,-9.119981,0
5.122612,-6.9384785,2
9.263094,1.5244559,0
7.1781483,18.794968,0
18.340555,12.001343,0
9.1389065,-5.3584013,2
-5.7040105,14.648061,0
-16.882244,5.782496,1
-15.497952,4.2175965,1
-10.675628,-3.5077198,1
2.348712,-8.49792,2
2.7964847,-3.105163,1
-9.798273,17.394642,1
-10.679603,0.68349785,1
-2.4177608,-14.458634,2
-0.15217747,0.4859767,0
6.623877,16.327385,0
23.516335,2.6341388,0
21.175957,-0.839044,0
11.830387,-15.083266,0
15.429176,5.242919,2
4.4894304,-12.984713,0
12.811463,3.9806175,0
11.841089,-9.814737,2
2.2451665,5.6147614,0
5.6237965,15.068096,0
12.914413,1.0688493,0
6.659943,-11.659804,2
7.6598005,10.960302,0
12.071211,10.757812,0
17.82018,-9.647252,0
15.9715,-8.796133,0
9.706862,-14.159966,2
10.359734,9.861565,2
-1.5543044,7.0256457,2
-0.20502834,14.887147,0
-12.778911,17.339018,1
-14.616353,2.7816594,1
9.365649,-15.748222,2
0.67890835,6.1771393,2
5.663343,23.452095,0
23.688383,-8.848526,0
9.028892,-5.4344587,2
13.888,6.611812,0
16.973436,25.915895,0
21.915804,5.3849664,0
3.9683065,0.56986016,0
11.729559,-4.0663695,0
6.2800665,-0.71915364,2
13.434156,5.810617,0
-3.064094,9.117359,1
3.3548393,-15.939596,2
5.2074537,5.3732834,2
-5.3642573,11.052215,1
-10.680221,-14.486099,2
-4.492448,-12.9027195,0
9.247965,17.529144,0
9.212099,7.885117,0
19.466286,10.89525,0
10.365052,3.278559,0
7.4217715,-9.146651,2
3.4768238,9.366612,2
-9.843804,12.711188,1
-7.6549025,5.2624984,1
-5.3616595,-5.8661413,2
0.08071631,5.1161227,2
0.44334415,8.889938,1
-5.879202,7.821641,1
-2.8936262,1.5276217,1
-5.0360937,-8.152576,1
1.4439062,2.0646334,2
10.954023,0.88061166,2
-5.238848,9.171433,1
9.790345,-3.188881,1
-1.6213229,-6.6952314,2
-2.1867566,10.263337,2
-6.868936,11.505017,1
-3.6395617,-5.1872735,1
3.1907618,-7.398722,2
5.6662173,-2.818812,0
20.3948,15.999437,0
17.493616,-6.0299234,0
2.1088166,-10.052065,2
6.340308,10.567204,0
-3.057278,9.122146,1
3.3610191,-15.940521,2
9.155967,9.540492,0
2.2908714,8.886827,2
-0.04583167,15.312547,0
-12.729424,17.38907,1
-14.605079,2.7705715,1
9.399945,-15.711493,2
7.0611467,8.502096,1
5.584888,8.390905,2
11.838291,17.111752,2
-3.9804337,17.198538,1
7.086462,-16.80385,2
5.256321,5.488431,0
9.2802305,17.516022,0
9.145339,7.9550414,0
8.840485,14.723172,0
10.344475,3.335446,0
11.432155,-0.91892207,2
3.5085185,9.336215,2
9.067292,15.778887,0
21.880018,5.4221864,0
